,datetime,city,state,shape,comment
38,12/17/20 07:00,Kissimmee,FL,Circle,"The two balls of light in the sky would disappear together, and seperate, going from disappearing to dim to super bright. Bottom one would go really small to really big. The bottom one was also brighter. There has been an abnormal amount of planes in the sky, before, and as this occured."
39,12/16/20 13:27,prosser,WA,Other,A cloud UFO releases an object near Prosser Washington
40,12/16/20 13:27,prosser,WA,Other,A cloud UFO releases an object near Prosser Washington
41,12/16/20 13:27,prosser,WA,Other,A cloud UFO releases an object near Prosser Washington
42,12/16/20 10:20,Naples,FL,Fireball,Fireball
43,12/16/20,North Miami Beach,FL,Circle,Looking at moon and planets Saturn and Jupiter. 18:30.  Sun just went down.  Some small low clowds.  Saw two blinking lights in clouds moving in my direction near Moon.  They stopped.  A few seconds later they started moving.  Stopped. Flashing white lights in equal distance.
44,12/15/20 20:56,honolulu,HI,Flash,Stationary flashing lights - red then white then blue. Then it displayed a white light strobe effect then it zipped away really fast!
45,12/15/20 20:35,Hilton,NY,Sphere,Hilton NY 3 spheres
46,12/15/20 20:00,Pearce,AZ,Light,Strange lights over several hous.
47,12/15/20 19:00,ROCHESTER,NY,Light,"Over 20 lights in formation in most parts non stop over Rochester, NY"
48,12/15/20 18:25,Green Valley,AZ,Sphere,3  bright Spheres in a line  north to south
49,12/15/20 17:30,Brookly,MI,Light,"Saw a bright light hovering low over a piece of farmland, the light shifted to my right as I was facing it, stopped and then started to move slowly away, I glanced away for a second and then looked again in the direction of the light and it had dissapeared.  Light was to far away to tell general shape and size, no blinking lights or any other significant markings other than it was bright yellow in color."
50,12/15/20 11:00,Chicago,IL,Disk,Chicago: Shiny disk shaped UFO in daylight
51,12/14/20 21:30,Kansas City,MO,Other,Worming ribbon object moves through the kansas city sky.
52,12/14/20 21:30,Lakeland/Winter Haven,FL,Circle,Star like light moving very fast
53,12/14/20 11:08,Earth City,MO,Cylinder,"White cylinder / Stick Shape went from sitting completely still in the sky, then moving backwards, forwards then gone"
54,12/13/20 22:20,New York City,NY,Other,Green ring flew over New York city
55,12/13/20 20:20,Leavenworth,IN,Flash,I heard something fall inside the Barn when I went outside to bring the cats in I told my brother there was someone or something in the barn and that something wrong was going on he came outside to investigate and we noticed in the distance flashing lights bright flashing red lights I was late leaving for a date at 9:00 and I was in a rush so I noticed the red lights were in the direction of my house so I took my phone and recorded two videos at the base of the hill in the final video the entire sky is lit up and it looks like an electrical storm is moving in back at my brother's house we watched the lights flashing it was an unusual pattern in the videos that I recorded this I even recorded two videos one at my driveway and one at the base of the Hill at the top of the hill when I drove to investigate the lights shut down and I felt as if there was an urgency I looked around at the top of the hill and saw nothing or no one and no vehicles there's a flat fie! ld where tall Grass are we live in the rural country and I felt that I really needed to leave Not only was I late for my date but I thought the electrical storm was now turning into something very spooky upon returning from dinner the animals were acting strange and I will stop and leave it at that but I truly believe this was a UFO and so does my brother and the two videos are breathtaking and there is no explanation of what these red lights are I now know what red lights flashing they are UFOs I believe there was one or two ships on top of the hill signaling me to stop and talk to them but luckily I had a date or I believe something unbelievable would have happened to me had I gone and driven to the left to investigate because I normally would investigate something like this thank you if you want copies of the videos feel free to contact me I plan on posting them on YouTube but I wanted to contact you first to see if you could tell me what this really was I just know I ha! ven't been the same since and the animal that came up to me th! at night was my neighbor's donkey and it walked up to me at 11:00 when I stopped at my driveway to check the mailbox and what it did shocked me it kept walking to me as I backed up away from my mailbox it stopped raised its lower lip after it smelled me it kept coming up to me and I had to keep walking backwards as it nudge me with its nose and then it stopped and urinated by my mailbox where I was standing I got into my Jeep
