,datetime,city,state,shape,comment
35,4/30/20 19:50,Roseburg,OR,Oval,"We were driving and had to pull over, craft was moving slowly, was as white as light, we watched it zig zag slowly and then disappear over a mountain."
36,4/30/20 19:00,Pleasant view,UT,Sphere,My girlfriend and I were hammocking in my back yard when we saw something we first thought was a weather ballon then changes shape into a sphere and started moving very sporadically and very suddenly went into a spiral and disappeared in a very clear blue sky.  Within this time it appeared and reappeared about two times. It also had a slight haze around it as if it was emoting a glow.
37,4/30/20 17:00,Micco,FL,Light,"10-12 objects flying or moving symmetrically, moving south!  All objects looked like stars!"
38,4/30/20 17:00,Vancouver,WA,Circle,"Saw 'white orb swarm' of 10-20 during the day, near Columbia River in Vancouver,  WA on 4/30/20."
39,4/30/20 14:30,American Fork,UT,Changing,Stationary bright silver object hovering over mountain then vanished out of sight.
40,4/30/20 14:22,American Utah,UT,Light,Picture of the same UFO that they filmed at Skinwalker Ranch.
41,4/30/20 13:13,Cottonwood Heights,UT,<br/>,Hill AFB just did the Covid flyby to support our first responders.  Took this picture on Fort Union Blvd. looks like a foo fighter above and one below.  I also have video.
42,4/30/20 11:30,San Diego,CA,Formation,Three objects in exact formation
43,4/30/20 09:17,Davie,FL,Light,Backyard UFO Fleet night sky sighting!
44,4/30/20 09:17,Orlando,FL,Circle,There was circular lights flying in a straight line crossing the moon and were also above planes they went from Northwest to Southeast
45,4/30/20 09:14,Tifton,GA,Light,30+ dots of light flying ons behind the other in a straight line heading south east.
46,4/30/20 03:28,Boise,ID,<br/>,MADAR Node 111
47,4/30/20 03:15,Clearwater,FL,Other,Got up to 3:15am was attracted to look at a “star like” that suddenly went to a blinding bright envelope of bright light.
48,4/30/20 02:30,Bloomington,IL,Light,Spotted an indigo light to the east of the city. encounter lasted roughtly 15 minutes.
49,4/30/20 00:11,El Paso,TX,Unknown,"It was around 12:11 in the morning and I was just hanging out in my backyard with my dog.  I saw an object flying very low, around 100 or 200 feet in the air at extremely high speeds.  It couldn't have been a plane because it had no wings and I dont live near an airport and it couldn't have been a helicopter because it had no propeller.  The lights were white, red and green.  It was a rectangular shape in the back and a triangular shape in the front.  It seemed to have a headlight in the middle of the triangular shape at the front, kind of like some kind of weird flying train.  It was a carbon black color.  I would like to note I live very near the location of the famous roswell and also im not to far from elephant bute which also has many reported sightings of ufos."
50,4/30/20 00:11,Pueblo,CO,<br/>,MADAR Node 83
51,4/30/20,Pompano Beach,FL,Oval,I was looking to the West and all of a sudden by I think the planet Venus???  There was 12 lights flying parallel in a straight line for about 10 minutes.  I had no idea what was going on but a friend of mine saw it too.
52,4/29/20 23:55,Tulsa,OK,Circle,Object appeared Southwest moving very very quick to the northeast.  After the object made it a ways to the northeast it turn quite abruptly what appeared to be straight north.  The object was not reflective like a satellite would appear to your eye.  It looked as if it was just outside of our atmosphere.  It had a Orb like look the light I could see appeared to be circling the object.I didn’t hear any sounds like a aircraft.  Never seen anything like it and when it turned it blew my mind
53,4/29/20 23:35,Banning,CA,Light,Driving down a dark road we spotted a helicopter chasing a light at high speeds
54,4/29/20 23:20,Citrus Heights,CA,Light,2 star objects appear then disappear while moving vertical into the sky.
55,4/29/20 23:00,Midland,TX,Sphere,Second sighting in 1 week.  Strait line.  Very high speed.  Side observer also in sphere. Moving over 7.500 MPH.  Saw by neighbor and us.  Second sighting different directions.  The formation deviates.
56,4/29/20 22:30,Kelowna (Canada),BC,Cone,Space station like object looks like it’s continuously on a loop only seeing one object at a time 10 of them seen. BC Canada
57,4/29/20 22:00,Cape Coral,FL,Light,Light moving sporadically over SW Florida coast
