,datetime,city,state,shape,comment
0,12/31/19 23:55,Wesley Chapel,FL,Light,8-9 Disc shaped lights moving south about 1000 feet up with no sound.
1,12/31/19 23:23,Sanford,FL,Circle,3 unidentified bright orange objects travelling in the same direction
2,12/31/19 23:00,Fort Lauderdale,FL,Fireball,"I was in Fort Lauderdale, FL looking toward the East on New Years Eve and I saw a bright orange light in the sky. At first I thought it was a drone, but the altitude, speed and distance it traveled led me to believe that it was not a drone.  It moved from North to South across the sky and disappeared to the South."
3,12/31/19 23:00,Pinellas Park,FL,Sphere,At work on New Year's Eve.  As I looked up in the sky watching the fireworks.  I noticed a glowing orange red orb around 70 to 90 feet above my head.  There was no sound and moving at a slow pace.  Once that past by my head I noticed a second orb moving in the same direction from the north to the south.
4,12/31/19 22:45,Lakeland,FL,Oval,"Two VERY bright glowing objects moving from north to south over Polk County on New Year's eve, 2019"
5,12/31/19 22:30,Captain Cook,HI,Other,40 + sparkling lights high up moving slowly east south
6,12/31/19 22:30,Lake City,FL,Circle,"One orange circular object traveling NW to SE, no strobes, disappeared, followed shortly by two identical others, with second overtaking lead light, second disappearing followed shortly by other with no reappearance of any of three.  No trail, no sound"
7,12/31/19 22:30,Buck Lake (Canada),AB,Light,"4 orange orbs traveled above the tree line following the same path, one after another moving toward the lake."
8,12/31/19 22:20,Jacksonville,FL,Fireball,Orange glowing fireball or object ;noiseless.
9,12/31/19 22:20,Florence,AZ,Light,"New Year's Eve leaving from a friend's house who lives in a remote area in Florence, Arizona, notice the green light hovering in the sky while coming to stop sign driving home. Its is completely dark pitch black except our headlights so I thought it was a firework about to explode so me and wife wait and this single green ball or round pillish looking craft it starts to move slow back n forth n hovering for a min and then shot into the sky my wife and I both looked at each other mouths open as no plane or aircraft can move that fast.  I should add we both dont drink so there was no mistaking this for a firework it"
10,12/31/19 22:00,Balfour (Canada),BC,Other,Sky was heavily clouded no stars or moon could appear to be seen when me and my girlfriend had been unpacking our groceries from car at approximately 10pm December 31st 2019 we had seen red raray's of lights expanding across the sky in a strobe effect would last for a duration of est.1 min with intermediate interferences causing power outages lasting this went on for est 3-5 min .
11,12/31/19 22:00,New Port Richey,FL,Unknown,"About 10:10 pm new years Eve, walking my dog, I looked up towards the west and saw a huge orange / reddish light moving silent across the sky.  There was no sound, it moved to the so.  East at a slow speed then completely vanished, then to my superise I looked up again and 2 more identical lights exactly as the first one were moving in the same direction this time I videoed them for about 2:45 seconds.  I thought possibly maybe drones, but then, I'm just not sure what they were, there were no strobe lights no wings and no sounds and I was absolutely stunned.  I was wondering if anyone else had seen this event last night? BTW, I have 5 pic's and a 2:42 second video."
12,12/31/19 21:35,Los Angeles,CA,Light,"I was driving back from Magic Mountain with my daughter and her boyfriend ( both was on the phone)  Suddenly, out of the blue, this huge green light ball came down from the sky and had a laser beam that was also green, it went directly to the ground.  It has no sound.  Then it disappeared. It was so fast. maybe only 500 meters from my car."
13,12/31/19 21:00,San Diego,CA,Unknown,I was standing over highway I94 facing west and I was attempting to take a good picture of the San Diego skyline.  Whereupon I took a series of pictures so I could pick out the best one to post on my Instagram.  After examining the fotos I noticed a series of lights that appeared on the top right corner of the frame and kept moving with objects appearing on each subsequent picture.  I do not claim  to know what these pictures represent but as you can clearly appreciate they seem to be grouping in formation and flying what seems to be moving from right to left or north to south over the downtown San Diego skyline.  With the Lindbergh airport to the north of the picture frame.
14,12/31/19 20:30,Harmony,NJ,Unknown,large slow moving craft with colored lights in Harmony NJ
15,12/31/19 19:18,North Kingstown,RI,Other,"Fast amazing lights in the shape of a dart craft, fast and jagged path and disappeared quickly heading East,"
16,12/31/19 19:00,Natural Bridge,VA,Oval,"Bright light above field, was not a star as I went to check on it 15 minutes later it was not there slowly moving across field toward mountain range."
17,12/31/19 18:30,Chugiak,AK,Fireball,"Sphere fireball Cook Inlet/Susitna, Eklutna Alaska"
18,12/31/19 18:15,Kingston upon Hull (UK/England),<br/>,Circle,There were 100 plus of them all in a perfect straight line.  All was split in equal distances a little white dot.  Moving over hull heading out to the North Sea.  There was 5 people who all seen this happen
19,12/31/19 17:25,Tustin,CA,Circle,"Dark center, with a very bright glow around it slowly moving through the sky"
20,12/31/19 15:26,Bloomfield,NJ,Oval,"From my car I saw a bright white orb moving slowly near a cloud bank.  I attempted to film it and it disappeared.  I put the phone down and it reappeared.  Again it disappeared when I attempted to film it.  I continued onward to my destination which was less than a quarter mile away, the Watsessing train station in Bloomfield.  I exited the car, I anticipated seeing the object and it appeared.  I was able to get footage.  The object was stationary and then flickered out, then once more reappeared brightly and faded away.  The video can be seen at tge folliwing link: "
21,12/31/19 14:00,Lake Wales,FL,Cigar,"Cigar shaped object seen New Years eve, 12/31/19 at 2pm in south central Florida."
22,12/31/19 11:55,Waianae,HI,Circle,"Once again same spot as last week.  Blue flashing light that didn't move for about 14 minutes, then fell from the sky.  My phone would not record.  My daughter could also not get her phone to record"
23,12/31/19 11:47,Sanford,FL,<br/>,MADAR Node  91
24,12/31/19 08:03,Jonesboro,AR,<br/>,MADAR Node 143
25,12/31/19 07:44,St. Augustine,FL,Disk,Saw a very shiny small object in the sky.  Hovered for 5 seconds and then disappeared.
26,12/31/19 06:51,Whately,MA,<br/>,MADAR Node 67
27,12/31/19 05:25,Casper,WY,Formation,"I was on my back deck looking up at the stars as I often do. I noticed a cluster of three stars, 1 brighter than the other two.  It was a cluster of stars I had not seen before.  I looked away to see where the big dipper was in corrolation to this cluster.  When I looked back at what I believed to be a three star cluster they were no longer there.  I continued to search the sky for the next 10 or so minutes but did not see them again."
28,12/31/19 03:00,Kingston,TN,Cigar,"My friends and i went out to smoke om a game break... We live right by the lake. We all noticed a cigar shaped craft really low on the water.  At first we thoight was a boat. Then it began to rise into the air to am estimated 60 ft height.  Then we noticed another cigar shaped craft come into view in the sky and lower into a hover over the lake.  The craft stayed in position over the lale for 10 to 15 minutes then began am ascent to match the other crafts height.  We all noticed water coming off the craft even though it clearly didnt touvh the water.  Which lead us to believe these craft were collecting water.  After 2 or 3 minutes the craft started lighting up in alternating color of green,red,blue.  They then bagan ascending slowly at first then just vanishes into space too high to see or just gone."
29,12/30/19 23:00,Dumas,MS,Light,Two people saw a bright star moving in all directions in a small area.
30,12/30/19 22:20,Madison,AL,Triangle,"I was driving northbound on County Line Rd. towards Hwy 72 heading home.  At first I noticed the lights and thought it was from a water tower or something similar such as an antenna.  As I got closer passing the Publix shopping center, the lights began to move in such a way that indicated the lights were rotating.  I then turned into the parking lot close to the Redstone FCU and immediately turned around to try to catch it on camera.  The craft was triangle in shape based on the 3 white lights on the corners.  There was also a red light, which appeared to be on the bottom.  It sped off and I could not catch up to it."
31,12/30/19 21:50,"Chew Stoke, Bristol (UK/England)",<br/>,Light,Star like light in sky changing directions and speeds frequently
32,12/30/19 21:00,Merritt Island,FL,Other,I was driving from cocoa beach to merritt island on highway 520 when I saw a light in the sky I observed the light for a few minutes as I noticed the center started to get brighter then it vanished moments later I noticed a light further in the sky moving then vanished the light was wide with an arch at the bottom and the top seemed to be flat
33,12/30/19 20:35,Titusville,FL,Light,"I was out looking at what I thought was a extremely bright star but then tit moved.  It circled a few times, twinkling the whole time, then stopped moving and twinkling, then vanished, like a light just switched off."
34,12/30/19 19:30,Mary Esther,FL,Other,Large bright light high in the sky.  The light was very bright it was hovering then started to drop at a fast rate.  The bright was hovering over the Gulf very low.  All of the sudden it bursted into high rate of speed light disappeared but a very loud noise afterwards
35,12/30/19 18:14,Sanford,FL,<br/>,MADAR Node  91
36,12/30/19 15:46,Pueblo,CO,<br/>,MADAR Node 83
37,12/30/19 14:01,Lords Valley,PA,<br/>,MADAR Node 121
38,12/30/19 14:00,Dallas,TX,Other,"Noticed strange shape in photo I took of Mercantile Bank Building in downtown Dallas with my Samsung 9S camera phone.  Note how high it is above the building (the tip of the building's spire is 531 ft).  It does not look like a normal aircraft and it is far too large to be a bird.  I did not notice it while I was taking the photo, so I cannot describe how it moved or whether it made any noise."
39,12/30/19 12:00,Birmingham,AL,Disk,"I was driving down the red mountain expressway, and saw a large silver disc/circular shaped craft in the sky. It moved unnaturally from one point to another.  Speeds that aren't possible.  I tracked it for around 45 seconds trying alert others on the road to the object.  It had what looked like larger thrusters cylindrical shaped on two sides.  Golden aura around the thrusters.  I looked away to exit the highway, and when I looked back I saw it for a split second, and then it vanished."
40,12/30/19 11:15,Buffalo,NY,Other,It looked like a giant metallic flying ping pong in the shape of a horseshoe.
41,12/30/19 08:00,Kelly,LA,Changing,"I don’t have a fancy story to tell or lots of details. I set my ISS app to record while I did the dishes, like I normally do.  I later watched it over and noticed something strange.  It appears three times."
42,12/30/19 06:00,Hamilton,MS,Formation,"While leaving work I was walking to my vehicle.  I was looking up into the dark morning sky about 6:00am and l noticed 3 bright lights that were in a straight line pattern in the sky. What I thought at first was a airplane of some sort but the lights didn't flash like an airplane lights, just 3 white lights moving.  I then got the attention of a co worker and he started watching  By this time the object started to change direction moving more towards higher altitude faster then When I first seen it.  In a matter of seconds the white lights had turned in direction and seemed to be fading out of site.  This is when i realized that this was not an airplane nor helicopter because i could see the stars in the sky and these lights were fading fast like leaving the atmosphere.  Then it was gone.  As i drove home i continued to watch the sky for it again, but no such luck but i did see a few airplanes and their blinking lights."
43,12/30/19 04:45,Calhoun,GA,Changing,Object seen to the west from Calhoun Georgia at 4:45
44,12/30/19 03:31,Gasquet,CA,Circle,"3:31 AM 12/30/19 Gasquet, Del Norte Cnty, CA Round object moving like a heart-beat monitor display from WSW-ENE across the sky for 25s."
45,12/30/19 01:30,Hiram,GA,Flash,"All of a sudden, a strange wind started blowing even the tallest trees around like crazy and my husband and I went to see what was the matter on our front porch and saw a gigantic teal-colored flash light up high in the sky over the trees and all the power went out in our town.  The wind began to pick up more and another teal flash lit up the sky over the trees and my husband and I went back inside because we could not explain what was happening..we believe it was a UFO."
