,datetime,city,state,shape,comment
1490,7/29/18 20:25,Little Egg Harbor,NJ,Circle,Above Walmart  parking lot.  Two bright circles that seemed to be connected just hovering in the sky.
1491,7/29/18 20:00,Loveland,CO,Circle,White round disk with dark markings and lights seen high over Northern Colorado
1492,7/29/18 17:15,Huntsville,AL,Chevron,"Thin, gray, wing-like object moving slowly south to north"
1493,7/29/18 16:30,Batesville,MS,Triangle,"Hello,I live in Batesville, Mississippi on Farrish Gravel Road.  At about 4:00PM I was walking my dog and I glanced at some lights in the sky but didn't pay them any mind because there are street lights that can be seen behind some trees.  "
1494,7/29/18 08:00,Saticoy,CA,Sphere,"Sphere like object  hovers over man and his dog in a produce field in Saticoy, ca"
1495,7/29/18 01:25,Newburgh,IN,<br/>,MADAR Node 06
1496,7/29/18 01:00,Balsam Lake,WI,Other,Orange ball of light rising above tree line and darting into space
1497,7/28/18 23:55,Lohman,MO,Triangle,"Orange, yellow and red spiky triangular-shaped object traveling southeast to northwest at approximately 1,500 feet."
1498,7/28/18 23:45,Pittsburgh,PA,Circle,bright fast moving object disappeared into cloud then the cloud disappeared.
1499,7/28/18 23:10,Nebraska City,NE,Oval,Two side by side light green orbs traveled in tandem changing orientation to top to bottom - four in total were observed.
1500,7/28/18 23:10,Horseshoe Bend,ID,Light,Strange bright pulsing light over Horseshoe Bend
1501,7/28/18 23:00,Eugene,OR,Light,2 Solid Teal Green lights East of my sight Both lights Stationary at First   
1502,7/28/18 22:47,Charlotte,NC,Circle,Uncoutable orbs similar to millions of fireflies  Flying high in sky.  Travelling from Nw to SE then slowly disappeared.
1503,7/28/18 21:30,Pula (Croatia),<br/>,Circle,"It was getting dark and three of us were walking along the waterfront and watched the sky. Mars was just above the horizon.  I was checking the other planets along the Ecliptic and was facing south when I saw big red light, as twice as a size of the Mars.  At first, I thought it was a signal flare, but the light didn't move.  Few seconds later, it just vanished."
1504,7/28/18 21:30,Hansville (Bangor Submarine Base),WA,Light,My husband and 2 friends saw 6 pinkish-orange lights south of the Hood Canal bridge.  It was 9:30pm and starting to get dark.  
1505,7/28/18 21:00,West Haven,CT,Formation,"Two witnesses were walking to the beach near the fair that West Haven has going on this weekend, near Altschuler Beach.  As they approached the Ferris Wheel and the bright lights of the Fair, they saw first 3, then 4, and 5, and a total of 7 amber lights above the Fair, in a rectangular formation, high enough in the sky that one witness said to the other, “do you think these are drones”?  The other witness said that they appeared too high in the sky to be drones.  They shifted the rectangular formation and moved but there was no pattern to their movement.  They were quite bright.  At first, the thought occurred that these were some aerial part of the Fair.  But the lights could fade and disappear within seconds, leaving only 3, and then finally 1 and that one disappeared.  "
1506,7/28/18 15:15,Reno,NV,Sphere,"On July 28, 2018   South Reno:  I was in my back yard and I looked up in the sky. About 30,000 feet I saw two spheres flying in formation easily the size of a jumbo jet in diameter.  They were flying in formation at an incredible speed coming from the north by north west on a southern trajectory.  They were gone in less than 7-8 seconds.  I also saw in the north an airline aircraft going west to east.  I calculated the airliner was going in the area of 475-500 m.p.h. I used that rough calculation to estimate the speed of the spheres at 4-5 times the speed of the airliner.  They looked very much like large pearls.  They made no noise."
1507,7/28/18 14:06,Hood River,OR,Cigar,"Two long objects over Columbia River Gorge, disappeared into the clouds."
1508,7/28/18 04:30,Valparaiso,IN,Formation,Bright vertical 3 star formation
1509,7/28/18 04:00,Boise,ID,Cigar,Cigar-shaped ship.  Glittery lights and strange orange lights.
1510,7/28/18 01:00,Lebanon,OR,Light,"Early Saturday morning (7/28/2018), I  went outside for some fresh air and to observe the night sky like I have done numerous times.  After a few minutes of being out there, I began to notice a 'solid reddish object' moving east to west in a unusually slow manner.  I do live a few miles (as the crow flies) from a rural airport that only accomodates single engine small prop planes.  I see these type of planes coming and going all hours of the night but they always have blinking aviation lights and you can hear their engines quite easily anytime they are nearby.  However, this object had no blinking lights and seemingly was not making any type of sound.  "
1511,7/28/18 00:24,Southington,CT,Cylinder,"An aircraft of some kind covered an extreme amount of distance, then seemed to disappear."
1512,7/27/18 23:40,Napoli (Italy),<br/>,Changing,"A group of Light like a Globular Cluster (M9, for example) with color light Green and Orange intermittently Various light left the group for some seconds."
1513,7/27/18 23:30,Apollo,PA,Cone,Craft seen flying over star gazing party in a small town in PA.
1514,7/27/18 20:35,Milton,FL,Fireball,Two silent flying fireballs.
1515,7/27/18 19:30,Beatrice,NE,Light,"While driving into town, I saw a one-second brilliant blinding flash in the sky...(like having your eyes temporarily blinded by a flash from an old-fashioned camera at about 7:30 pm in Beatrice, Nebraska on 07/27/18.  "
1516,7/27/18 16:34,Indianapolis,IN,<br/>,MADAR Node 07
1517,7/27/18 14:15,Lone Tree,CO,Circle,I see planes every day out side my office.  This object was travelling strait in a sloping arc.  
1518,7/27/18 05:00,New Russia Township,OH,Formation,5 lights in a line formation in the southern sky disappearing in order from bottom to top after approximately a minute.
1519,7/27/18 03:00,Brighton,CO,Light,"Bright reddish light floating randomly, no sound or flashings."
1520,7/26/18 22:15,Ochlocknee Bay,FL,Light,"Wife and I observed 5-7 different red lights appear south of Ochlocknee Bay, likely over Gulf of Mexico.  3 lights appeared first, held still then vanished.  10 minutes later 7 different red lights appeared in different location west of the initial location, several appeared at a time and would go away, they hovered and did not move.  Duration of in which they appeared seemed too be less than 30 seconds.  Very visible red lights.  Later we saw less of the lights appear then disappear.  There were much higher than surrounding radio towers, and much higher than previous fireworks seen this past year from several surrounding towns."
1521,7/26/18 21:30,St. George Island,FL,Changing,"Large craft with amber lights fades into and out of view, as if it had a cloaking device.  And another chevron shape with red lights."
1522,7/26/18 19:09,Renton,WA,Oval,"Object was heading north, at 3 o'clock it flew over Seattle."
1523,7/26/18 04:30,Lewistown,MD,Formation,Multiple objects appeared in a linear formation.
1524,7/26/18 04:00,Boise,ID,<br/>,"While star-gazing around 4 a.m. looking Northward, I witnessed a perfectly round explosion in the sky above a horizon star.  The size of the explosion was approxmately 10-15x size of a star.  No trails, just a perfect 1 second orange/fire colored explosion in the sky."
1525,7/26/18 00:00,Elkhorn,WI,Rectangle,"For the last 2 weeks, I have seen this object from my house.  It is rectangle and has lights that flash.  It is stationary in the eastern part of the sky, but at times moves a little to the west.  There are no towers or airplanes in the area that I see it.  I can step outside my kitchen door and see it almost every night.  It is orange in color and I know it is not a star which is in other areas of the sky.  "
1526,7/25/18 22:00,Gig Harbor,WA,Circle,I see several strange yellow orbs that hover over the Puget Sound almost every night.
1527,7/25/18 21:30,St. George Island,FL,Circle,"Red round objects appearing with one that had three stationary red lights, then vanishing after 20-30 seconds."
1528,7/25/18 21:30,St. George Island,FL,Circle,"Red-orange, round objects appearing with one that had three lights, and they vanished after 20-30 seconds after each time."
1529,7/25/18 06:45,Wilsonville,OR,Unknown,Strange people walking (no object seen).
1530,7/25/18 05:05,Tarzana,CA,Disk,"I saw long flame traveling from west to southeast.  It was red at the beginning flying upwards, then it gets shorter and yellow while flying more hoizontally."
1531,7/25/18 01:00,Isle,MN,Changing,"I just laid down for bed,  I glanced at the window and seen a bright colorful object.  It was moving back and forth, as it got closer there was 3 lights triangle.  I watched it for about 2 hours."
1532,7/25/18 01:00,Snohomish,WA,Unknown,"I was outside and saw a light up in the sky that went from one to two lights (1 blinked bright, but it wasn't like the normal light a on a plane that I know of); and the lights were not in a normal formation."
1533,7/25/18 00:50,Middlesbrough (UK/England),<br/>,Circle,"Having a conversation with a mate on way to McDonalds near Middlesbrough FC stadium and look up whilst sighing at the chat and notice a green light zig zagging about 30,000ft up for over 10 seconds it stops dead like its noticed us looking and then it shoots off out of sight in about 2 seconds which is over 3 miles the eyes can see but it like stopped twice in that to propell its self forward hard to explain it was near Middlesbrough f.c ground but actually over the power station."
1534,7/24/18 23:00,Eastanollee,GA,Circle,"At approx. 11:00 pm, i was looking eastward in the night sky, when I observed a bright bluesh slver star that looked out of place.  Then, I futherr noticed it was moving in a westward direction and irregualr movements.  "
1535,7/24/18 22:15,Hadley,MA,Triangle,"3 separate bright white lights suddenly appeared in a triangle in upper atmosphere, and then simultaneously shut off 45 seconds."
1536,7/24/18 21:50,Roswell,GA,Other,Two UFO's pass in front of our house.
1537,7/24/18 21:45,Arcadia,CA,Light,Star like object drops rapidly from a high altitude.
1538,7/24/18 21:20,Sarasota,FL,Light,Green football shaped light for a matter of just a few seconds went across the sky.
1539,7/24/18 20:05,Newport (UK/England),<br/>,Other,Pill-shaped craft with red light/gleam on it.
1540,7/24/18 00:39,Salisbury,MD,Oval,I was driving home from work as a Supervisor at a major retail chain when I noticed a large red colored ball with a yellow ring around it.  It made a fast descent and then leveled off.  
1541,7/23/18 23:15,Otis Orchards,WA,Cigar,"Several bright flashes then a blue illuminated cigar shape visable for a second or two, flashes seen again southward of original object darting into clouds several minutes later."
1542,7/23/18 14:09,Newington,CT,<br/>,MADAR Node 106
1543,7/23/18 08:05,Siren,WI,Diamond,"Eastbound on HWY 70, coming up on the stoplights in Siren- as I came around the bend of the highway, I noticed 5 shiny objects moving quickly across the sky.  They were triangle or diamond shaped, silver in color.  They disappeared into the same area of the sky.  They moved in a straight line, like they were connected or just that precise.  They looked powerful."
1544,7/23/18 04:50,Cape Mears,OR,Sphere,"Early in the morning on July, 23, 2018, my husband and I were sleeping in a tent very close to the oceans edge.  At 4:50 a.m. we were both awakened by a strange sound outside our tent.  Our dogs did not bark at all.  "
1545,7/23/18 04:50,Cape Mears,OR,Sphere,Bright orbs over the Oregon Coast!
1546,7/23/18 04:50,Cape Mears,OR,Sphere,"	On July 23, 2018, I was tent camping with my bride at Cape Mears, Oregon.  Our camping site was a stone throw from the ocean.  The night was foggy and very misty as the valley was having a heat wave."
1547,7/23/18 00:15,Vancouver,WA,Cross,"Yellow, rotating, cross-like object in midnight sky."
1548,7/22/18 22:50,Vacaville,CA,Triangle,Cloaked TR3B over Vacaville Ca!
1549,7/22/18 21:30,Martinez,CA,Triangle,"Stationary, then slow moving, transparent triangle with bright corner lights that dimmed & disappeared."
1550,7/22/18 20:30,Matsusaka (Japan),<br/>,Triangle,Triangle shaped object moving rapidly sighted in near the Pacific Ocean in Central Japan.
1551,7/22/18 18:00,Brookwood,AL,Triangle,I and my wife witnessed the largest unidentified aircraft we have ever seen!!!!!!
1552,7/22/18 11:30,Deming,NM,Oval,Oblong disk hovering over Deming New Mexico 7/22/18
1553,7/22/18 11:30,Johnston,RI,Other,Around 11:30am 4 loud booms in the sky shook the house.
1554,7/22/18 11:30,Ridgefield,WA,Circle,"The object is orangish w/ a red light at the base, low, unmoving and it looks to have 4 shoots coming off the sides."
1555,7/22/18 10:58,Vero Beach,FL,Unknown,Our security camera picked this up last night.
1556,7/22/18 02:00,Ocala,FL,Fireball,Bright orange light turning to white and disappearing quickly
1557,7/22/18 00:00,Brewton,FL,Circle,"I've had other encounters from greys and feel like this thing is watching me,, too close for a star but not a satellite"
1558,7/21/18 22:00,Kansas City,KS,Triangle,2 triangle shaped UFOS spotted in kck
1559,7/21/18 21:40,Beaverton,OR,Sphere,Bright white round object flying in an easterly direction
1560,7/21/18 21:03,Springfield,IL,Fireball,Red ball steadily across night sky followed by second one 4 min later
1561,7/21/18 21:00,Ontario,CA,Circle,Circle ufo
1562,7/21/18 21:00,Chattanooga,TN,Triangle,"I was attending an outdoor concert by the river in downtown Chattanooga.  I sat down, after dancing for a while, and was looking up enjoying the sky.  I noticed some blinking red and green lights on a black triangular shape moving slowly from east to west.  There was a big crowd and I looked around to see if anyone else was seeing this but couldn't tell, as most folks were watching the show and such.  It flew in a straight line, and I watched it until it was out of sight."
1563,7/21/18 20:59,Tampa,FL,Cigar,"On 7/21/18 20:58, I observed a very large red glowing cigar shaped light or object, fly from south to north over Tampa, Florida."
1564,7/21/18 20:45,Parsonsfield,ME,Diamond,"Sitting off of Box car Rd.  Something caught my eye as we talked.  I looked up and yelled to the other 2 people so they also looked up.  It was a diamondish shape object, lit up at the bottom with white light"
1565,7/21/18 20:45,Haines Falls,NY,Sphere,Two orange orbs witnessed at North-South Lake Campground
1566,7/21/18 19:56,Las Vegas,NV,Triangle,New type of aircraft sighted over vegas.
1567,7/21/18 10:29,Norris City,IL,<br/>,MADAR Node 115
1568,7/21/18 08:30,Maryland Heights,MO,Cross,Craft vanishes from clear skies.
1569,7/21/18 07:15,Denver,CO,Oval,"Big orb in the western sky.  Lasted 15 mins and changed in color from time to time...at first pink then red, then gold then orange, changing color slowly.  Did not seem to move.  Then got fainter and fainter and could no longer see,"
1570,7/21/18 04:22,Soda Springs,ID,Light,"Light - Soda Springs, ID wobbles and disappears/reappears - varying speeds, at differing trajectories."
